Número de orden;Email;Fecha;Estado de la orden;Estado del pago;Estado del envío;Moneda;Subtotal de productos;Descuento;Costo de envío;Total;Nombre del comprador;Teléfono;Dirección;Ciudad;Provincia o estado;País;Código postal;Medio de envío;Medio de pago;Cupón de descuento;Fecha de pago;Fecha de envío;Nombre del producto;Precio del producto;Cantidad del producto;SKU;Canal;Fecha y hora de cancelación;Motivo de cancelación
#1020;cliente07@example.com;23/05/2025 15:18;Cerrada;Pagado;Despachado;ARS;27000.00;0.00;3022.43;30022.43;Cliente 07;+5400011111107;Calle Falsa 9874;San Isidro;Buenos Aires;Argentina;8119;Cadete (CABA y GBA);Tarjeta de crédito Visa;;23/05/2025 16:18;24/05/2025 15:18;Short Surf Negro - M;14500.00;1;SHO-NEG-M;web;;
#1021;cliente11@example.com;18/09/2025 04:13;Cerrada;Pagado;Entregado;ARS;4500.00;0.00;0.00;4500.00;Cliente 11;+5400011111111;Calle Falsa 3328;Río Cuarto;Córdoba;Argentina;6967;Retiro en local;Mercado Pago;;19/09/2025 03:13;24/09/2025 04:13;Medias Logo - Pack 3;4500.00;1;MED-PK3;web;;
#1022;cliente22@example.com;19/10/2025 10:09;Cerrada;Pagado;Entregado;ARS;4500.00;0.00;6163.24;10663.24;Cliente 22;+5400011111122;Calle Falsa 2951;Puerto Madryn;Chubut;Argentina;5930;Andreani estándar;Transferencia bancaria;;19/10/2025 22:09;25/10/2025 10:09;Medias Logo - Pack 3;4500.00;1;MED-PK3;mobile;;
#1023;cliente01@example.com;10/10/2025 05:13;Cerrada;Pagado;Entregado;ARS;19500.00;0.00;4087.47;23587.47;Cliente 01;+5400011111101;Calle Falsa 4749;La Plata;Buenos Aires;Argentina;9445;Correo Argentino estándar;Mercado Pago;;11/10/2025 02:13;11/10/2025 05:13;Camisa Lino Blanca - M;19500.00;1;CAM-BLA-M;web;;
#1024;cliente20@example.com;12/01/2026 07:21;Cerrada;Pagado;Despachado;ARS;55500.00;0.00;4036.98;59536.98;Cliente 20;+5400011111120;Calle Falsa 6391;La Plata;Buenos Aires;Argentina;9099;Andreani estándar;Transferencia bancaria;;13/01/2026 01:21;14/01/2026 07:21;Pantalón Jogger Negro - M;18500.00;3;PAN-NEG-M;web;;
#1025;cliente05@example.com;07/10/2025 20:57;Cerrada;Pagado;Despachado;ARS;40500.00;0.00;0.00;40500.00;Cliente 05;+5400011111105;Calle Falsa 2284;Mendoza;Mendoza;Argentina;8612;Retiro en local;Tarjeta de crédito Visa;;07/10/2025 23:57;11/10/2025 20:57;Pantalón Jogger Negro - M;18500.00;1;PAN-NEG-M;mobile;;
#1025;cliente05@example.com;07/10/2025 20:57;Cerrada;Pagado;Despachado;ARS;40500.00;0.00;0.00;40500.00;Cliente 05;+5400011111105;Calle Falsa 2284;Mendoza;Mendoza;Argentina;8612;Retiro en local;Tarjeta de crédito Visa;;07/10/2025 23:57;11/10/2025 20:57;Buzo Oversize Gris - L;22000.00;1;BUZ-GRI-L;mobile;;
#1026;cliente18@example.com;13/01/2026 15:58;Cerrada;Pagado;Entregado;ARS;56000.00;0.00;6412.98;62412.98;Cliente 18;+5400011111118;Calle Falsa 4599;Santa Fe;Santa Fe;Argentina;8206;OCA estándar;Transferencia bancaria;;14/01/2026 11:58;15/01/2026 15:58;Short Surf Negro - M;14500.00;1;SHO-NEG-M;web;;
#1026;cliente18@example.com;13/01/2026 15:58;Cerrada;Pagado;Entregado;ARS;56000.00;0.00;6412.98;62412.98;Cliente 18;+5400011111118;Calle Falsa 4599;Santa Fe;Santa Fe;Argentina;8206;OCA estándar;Transferencia bancaria;;14/01/2026 11:58;15/01/2026 15:58;Camisa Lino Blanca - M;19500.00;1;CAM-BLA-M;web;;
#1026;cliente18@example.com;13/01/2026 15:58;Cerrada;Pagado;Entregado;ARS;56000.00;0.00;6412.98;62412.98;Cliente 18;+5400011111118;Calle Falsa 4599;Santa Fe;Santa Fe;Argentina;8206;OCA estándar;Transferencia bancaria;;14/01/2026 11:58;15/01/2026 15:58;Buzo Oversize Gris - L;22000.00;1;BUZ-GRI-L;web;;
#1027;cliente10@example.com;12/06/2025 06:45;Cerrada;Pagado;Entregado;ARS;22000.00;3300.00;3585.22;22285.22;Cliente 10;+5400011111110;Calle Falsa 9669;San Isidro;Buenos Aires;Argentina;1320;Correo Argentino estándar;Mercado Pago;VIP15;12/06/2025 19:45;16/06/2025 06:45;Buzo Oversize Gris - M;22000.00;1;BUZ-GRI-M;web;;
#1028;cliente25@example.com;23/03/2026 16:58;Cerrada;Pagado;Entregado;ARS;78500.00;0.00;5956.93;84456.93;Cliente 25;+5400011111125;Calle Falsa 2804;Santa Fe;Santa Fe;Argentina;8657;Andreani estándar;Mercado Pago;;24/03/2026 04:58;29/03/2026 16:58;Medias Logo - Pack 3;4500.00;1;MED-PK3;web;;
#1028;cliente25@example.com;23/03/2026 16:58;Cerrada;Pagado;Entregado;ARS;78500.00;0.00;5956.93;84456.93;Cliente 25;+5400011111125;Calle Falsa 2804;Santa Fe;Santa Fe;Argentina;8657;Andreani estándar;Mercado Pago;;24/03/2026 04:58;29/03/2026 16:58;Short Surf Negro - M;14500.00;2;SHO-NEG-M;web;;
#1028;cliente25@example.com;23/03/2026 16:58;Cerrada;Pagado;Entregado;ARS;78500.00;0.00;5956.93;84456.93;Cliente 25;+5400011111125;Calle Falsa 2804;Santa Fe;Santa Fe;Argentina;8657;Andreani estándar;Mercado Pago;;24/03/2026 04:58;29/03/2026 16:58;Campera Puffer Negra - M;45000.00;1;CAM-PUF-M;web;;
#1029;cliente20@example.com;15/04/2026 15:11;Cerrada;Pagado;Entregado;ARS;19500.00;0.00;5482.06;24982.06;Cliente 20;+5400011111120;Calle Falsa 7006;Villa Carlos Paz;Córdoba;Argentina;5133;OCA estándar;Transferencia bancaria;;16/04/2026 03:11;18/04/2026 15:11;Camisa Lino Blanca - M;19500.00;1;CAM-BLA-M;web;;
#1030;cliente16@example.com;15/03/2026 17:49;Cancelada;Reembolsado;Sin envío;ARS;8500.00;0.00;2898.72;11398.72;Cliente 16;+5400011111116;Calle Falsa 1974;Tigre;Buenos Aires;Argentina;4571;Cadete (CABA y GBA);Mercado Pago;;;;Remera Básica Negra - L;8500.00;1;REM-NEG-L;web;16/03/2026 02:49;Demora en el envío
#1031;cliente09@example.com;31/10/2025 17:41;Cerrada;Pagado;Entregado;ARS;40500.00;0.00;6532.04;47032.04;Cliente 09;+5400011111109;Calle Falsa 1345;San Miguel de Tucumán;Tucumán;Argentina;4978;Cadete (CABA y GBA);Transferencia bancaria;;01/11/2025 15:41;02/11/2025 17:41;Buzo Oversize Gris - L;22000.00;1;BUZ-GRI-L;web;;
#1031;cliente09@example.com;31/10/2025 17:41;Cerrada;Pagado;Entregado;ARS;40500.00;0.00;6532.04;47032.04;Cliente 09;+5400011111109;Calle Falsa 1345;San Miguel de Tucumán;Tucumán;Argentina;4978;Cadete (CABA y GBA);Transferencia bancaria;;01/11/2025 15:41;02/11/2025 17:41;Pantalón Jogger Gris - M;18500.00;1;PAN-GRI-M;web;;
#1032;cliente25@example.com;21/06/2025 04:39;Cerrada;Pagado;Entregado;ARS;21400.00;0.00;3182.46;24582.46;Cliente 25;+5400011111125;Calle Falsa 6034;Quilmes;Buenos Aires;Argentina;8532;Andreani estándar;Transferencia bancaria;;21/06/2025 07:39;25/06/2025 04:39;Gorra Trucker Beige;6900.00;1;GOR-BEI;pos;;
#1032;cliente25@example.com;21/06/2025 04:39;Cerrada;Pagado;Entregado;ARS;21400.00;0.00;3182.46;24582.46;Cliente 25;+5400011111125;Calle Falsa 6034;Quilmes;Buenos Aires;Argentina;8532;Andreani estándar;Transferencia bancaria;;21/06/2025 07:39;25/06/2025 04:39;Short Surf Negro - M;14500.00;1;SHO-NEG-M;pos;;
#1033;cliente14@example.com;28/01/2026 04:01;Cerrada;Pagado;Entregado;ARS;19500.00;0.00;3684.95;23184.95;Cliente 14;+5400011111114;Calle Falsa 7485;Tigre;Buenos Aires;Argentina;4995;Andreani estándar;Tarjeta de crédito Mastercard;;28/01/2026 06:01;31/01/2026 04:01;Camisa Lino Blanca - L;19500.00;1;CAM-BLA-L;web;;
#1034;cliente19@example.com;12/02/2026 22:10;Cerrada;Pagado;Entregado;ARS;6900.00;0.00;7140.96;14040.96;Cliente 19;+5400011111119;Calle Falsa 3230;Santa Fe;Santa Fe;Argentina;2402;Correo Argentino estándar;Mercado Pago;;12/02/2026 22:10;17/02/2026 22:10;Gorra Trucker Beige;6900.00;1;GOR-BEI;web;;
#1035;cliente14@example.com;11/08/2025 02:16;Cerrada;Pagado;Entregado;ARS;27000.00;0.00;6244.67;33244.67;Cliente 14;+5400011111114;Calle Falsa 9117;Córdoba;Córdoba;Argentina;6419;Correo Argentino estándar;Transferencia bancaria;;11/08/2025 15:16;17/08/2025 02:16;Remera Básica Blanca - M;8500.00;1;REM-BLA-M;web;;
#1035;cliente14@example.com;11/08/2025 02:16;Cerrada;Pagado;Entregado;ARS;27000.00;0.00;6244.67;33244.67;Cliente 14;+5400011111114;Calle Falsa 9117;Córdoba;Córdoba;Argentina;6419;Correo Argentino estándar;Transferencia bancaria;;11/08/2025 15:16;17/08/2025 02:16;Pantalón Jogger Gris - M;18500.00;1;PAN-GRI-M;web;;
#1036;cliente15@example.com;20/09/2025 09:51;Cerrada;Pagado;Entregado;ARS;44000.00;0.00;4453.21;48453.21;Cliente 15;+5400011111115;Calle Falsa 4953;San Isidro;Buenos Aires;Argentina;4727;OCA estándar;Mercado Pago;;20/09/2025 12:51;22/09/2025 09:51;Buzo Oversize Gris - L;22000.00;1;BUZ-GRI-L;web;;
#1036;cliente15@example.com;20/09/2025 09:51;Cerrada;Pagado;Entregado;ARS;44000.00;0.00;4453.21;48453.21;Cliente 15;+5400011111115;Calle Falsa 4953;San Isidro;Buenos Aires;Argentina;4727;OCA estándar;Mercado Pago;;20/09/2025 12:51;22/09/2025 09:51;Buzo Oversize Negro - M;22000.00;1;BUZ-NEG-M;web;;
#1037;cliente10@example.com;23/09/2025 17:19;Cancelada;Reembolsado;Sin envío;ARS;22000.00;0.00;2705.18;24705.18;Cliente 10;+5400011111110;Calle Falsa 5682;Tigre;Buenos Aires;Argentina;4020;Andreani estándar;Mercado Pago;;;;Buzo Oversize Gris - M;22000.00;1;BUZ-GRI-M;web;25/09/2025 00:19;Demora en el envío
#1038;cliente09@example.com;02/05/2026 09:45;Cerrada;Pagado;Entregado;ARS;30500.00;0.00;7481.75;37981.75;Cliente 09;+5400011111109;Calle Falsa 3797;Puerto Madryn;Chubut;Argentina;9561;Andreani estándar;Mercado Pago;;03/05/2026 04:45;07/05/2026 09:45;Remera Básica Negra - L;8500.00;1;REM-NEG-L;web;;
#1038;cliente09@example.com;02/05/2026 09:45;Cerrada;Pagado;Entregado;ARS;30500.00;0.00;7481.75;37981.75;Cliente 09;+5400011111109;Calle Falsa 3797;Puerto Madryn;Chubut;Argentina;9561;Andreani estándar;Mercado Pago;;03/05/2026 04:45;07/05/2026 09:45;Buzo Oversize Gris - M;22000.00;1;BUZ-GRI-M;web;;
#1039;cliente15@example.com;30/09/2025 20:06;Cerrada;Pagado;Entregado;ARS;30500.00;3050.00;3603.98;31053.98;Cliente 15;+5400011111115;Calle Falsa 7799;Tigre;Buenos Aires;Argentina;5771;Andreani estándar;Efectivo (Pago Fácil);FREESHIP;01/10/2025 18:06;05/10/2025 20:06;Remera Básica Blanca - L;8500.00;1;REM-BLA-L;web;;
#1039;cliente15@example.com;30/09/2025 20:06;Cerrada;Pagado;Entregado;ARS;30500.00;3050.00;3603.98;31053.98;Cliente 15;+5400011111115;Calle Falsa 7799;Tigre;Buenos Aires;Argentina;5771;Andreani estándar;Efectivo (Pago Fácil);FREESHIP;01/10/2025 18:06;05/10/2025 20:06;Buzo Oversize Negro - M;22000.00;1;BUZ-NEG-M;web;;
#1040;cliente10@example.com;26/05/2025 21:55;Cerrada;Pagado;Entregado;ARS;45000.00;0.00;5775.42;50775.42;Cliente 10;+5400011111110;Calle Falsa 1269;Maipú;Mendoza;Argentina;1977;Andreani estándar;Tarjeta de crédito Visa;;27/05/2025 05:55;28/05/2025 21:55;Campera Puffer Negra - M;45000.00;1;CAM-PUF-M;web;;
#1041;cliente10@example.com;14/07/2025 13:29;Cerrada;Pagado;Entregado;ARS;25000.00;0.00;5981.39;30981.39;Cliente 10;+5400011111110;Calle Falsa 5380;Rafaela;Santa Fe;Argentina;5102;Correo Argentino estándar;Tarjeta de crédito Mastercard;;15/07/2025 02:29;20/07/2025 13:29;Riñonera Crossbody Negra;12500.00;2;RIN-NEG;web;;
#1042;cliente08@example.com;24/05/2025 10:34;Cerrada;Pagado;Entregado;ARS;22000.00;0.00;7248.22;29248.22;Cliente 08;+5400011111108;Calle Falsa 1594;Posadas;Misiones;Argentina;8700;OCA estándar;Efectivo (Pago Fácil);;25/05/2025 06:34;28/05/2025 10:34;Buzo Oversize Gris - L;22000.00;1;BUZ-GRI-L;web;;
#1043;cliente11@example.com;19/09/2025 00:08;Cerrada;Pagado;Entregado;ARS;12500.00;0.00;3409.65;15909.65;Cliente 11;+5400011111111;Calle Falsa 8531;CABA;Buenos Aires;Argentina;1018;Andreani estándar;Tarjeta de crédito Visa;;20/09/2025 00:08;23/09/2025 00:08;Riñonera Crossbody Negra;12500.00;1;RIN-NEG;web;;
#1044;cliente18@example.com;10/01/2026 01:06;Cerrada;Pagado;Entregado;ARS;30500.00;0.00;7142.54;37642.54;Cliente 18;+5400011111118;Calle Falsa 4020;Córdoba;Córdoba;Argentina;3594;Andreani estándar;Mercado Pago;;10/01/2026 21:06;15/01/2026 01:06;Remera Básica Negra - L;8500.00;1;REM-NEG-L;web;;
#1044;cliente18@example.com;10/01/2026 01:06;Cerrada;Pagado;Entregado;ARS;30500.00;0.00;7142.54;37642.54;Cliente 18;+5400011111118;Calle Falsa 4020;Córdoba;Córdoba;Argentina;3594;Andreani estándar;Mercado Pago;;10/01/2026 21:06;15/01/2026 01:06;Buzo Oversize Negro - M;22000.00;1;BUZ-NEG-M;web;;
#1045;cliente01@example.com;05/09/2025 10:10;Cerrada;Pagado;Entregado;ARS;60000.00;0.00;5231.19;65231.19;Cliente 01;+5400011111101;Calle Falsa 2336;Rosario;Santa Fe;Argentina;2143;OCA estándar;Mercado Pago;;06/09/2025 05:10;10/09/2025 10:10;Buzo Oversize Gris - M;22000.00;1;BUZ-GRI-M;web;;
#1045;cliente01@example.com;05/09/2025 10:10;Cerrada;Pagado;Entregado;ARS;60000.00;0.00;5231.19;65231.19;Cliente 01;+5400011111101;Calle Falsa 2336;Rosario;Santa Fe;Argentina;2143;OCA estándar;Mercado Pago;;06/09/2025 05:10;10/09/2025 10:10;Camisa Lino Blanca - L;19500.00;1;CAM-BLA-L;web;;
#1045;cliente01@example.com;05/09/2025 10:10;Cerrada;Pagado;Entregado;ARS;60000.00;0.00;5231.19;65231.19;Cliente 01;+5400011111101;Calle Falsa 2336;Rosario;Santa Fe;Argentina;2143;OCA estándar;Mercado Pago;;06/09/2025 05:10;10/09/2025 10:10;Pantalón Jogger Gris - M;18500.00;1;PAN-GRI-M;web;;
